"id","year","state_name","state_code","district_name","district_code","registration_circles","male_below_12_years","male_12_years_to_16_years","male_16_years_to_18_years","male_children","male_18_years_and_above","female_below_12_years","female_12_years_to_16_years","female_16_years_to_18_years","female_children","female_18_years_and_above","transgender_below_12_years","transgender_12_years_to_16_years","transgender_16_years_to_18_years","transgender_children","transgender_18_years_and_above"
0,"2021","Andhra Pradesh","28","Anantapur","502","Anantapur",3.0,21.0,19.0,43.0,248.0,4.0,111.0,331.0,446.0,778.0,0.0,0.0,0.0,0.0,0.0
1,"2021","Andhra Pradesh","28","Chittoor","503","Chittoor",28.0,7.0,10.0,45.0,122.0,18.0,67.0,180.0,265.0,462.0,0.0,0.0,0.0,0.0,0.0
2,"2021","Andhra Pradesh","28","Y.S.R.","504","Cuddapah",22.0,10.0,19.0,51.0,158.0,23.0,64.0,117.0,204.0,369.0,5.0,0.0,0.0,5.0,5.0
3,"2021","Andhra Pradesh","28","East Godavari","505","East Godavari",11.0,11.0,7.0,29.0,324.0,18.0,32.0,141.0,191.0,502.0,0.0,0.0,0.0,0.0,0.0
4,"2021","Andhra Pradesh","28","Anantapur","502","Guntakal Railway",1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
5,"2021","Andhra Pradesh","28","Guntur","506","Guntur",44.0,20.0,18.0,82.0,198.0,42.0,48.0,116.0,206.0,461.0,0.0,0.0,0.0,0.0,0.0
6,"2021","Andhra Pradesh","28","Guntur","506","Guntur Urban",3.0,7.0,7.0,17.0,186.0,1.0,69.0,68.0,138.0,302.0,0.0,0.0,0.0,0.0,0.0
7,"2021","Andhra Pradesh","28","Krishna","510","Krishna",30.0,1.0,0.0,31.0,173.0,28.0,2.0,2.0,32.0,314.0,0.0,0.0,0.0,0.0,0.0
8,"2021","Andhra Pradesh","28","Kurnool","511","Kurnool",54.0,23.0,16.0,93.0,206.0,38.0,62.0,161.0,261.0,604.0,0.0,0.0,0.0,0.0,0.0
9,"2021","Andhra Pradesh","28","Spsr Nellore","515","Nellore",26.0,8.0,16.0,50.0,137.0,21.0,52.0,104.0,177.0,352.0,0.0,0.0,0.0,0.0,0.0
10,"2021","Andhra Pradesh","28","Prakasam","517","Prakasham",32.0,14.0,7.0,53.0,138.0,37.0,77.0,84.0,198.0,377.0,0.0,0.0,0.0,0.0,0.0
11,"2021","Andhra Pradesh","28","East Godavari","505","Rajahmundry",14.0,4.0,5.0,23.0,134.0,14.0,30.0,28.0,72.0,199.0,0.0,0.0,0.0,0.0,0.0
12,"2021","Andhra Pradesh","28","Srikakulam","519","Srikakulam",4.0,5.0,7.0,16.0,65.0,13.0,5.0,67.0,85.0,203.0,0.0,0.0,0.0,0.0,0.0
13,"2021","Andhra Pradesh","28","Tirupati","752","Tirupathi Urban",17.0,10.0,2.0,29.0,79.0,13.0,33.0,101.0,147.0,211.0,0.0,0.0,0.0,0.0,0.0
14,"2021","Andhra Pradesh","28","Ntr","749","Vijayawada City",19.0,4.0,12.0,35.0,257.0,19.0,28.0,81.0,128.0,399.0,0.0,0.0,0.0,0.0,0.0
15,"2021","Andhra Pradesh","28","Ntr","749","Vijayawada Railway",0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
16,"2021","Andhra Pradesh","28","Visakhapatanam","520","Visakha Rural",7.0,4.0,7.0,18.0,106.0,7.0,9.0,35.0,51.0,165.0,0.0,0.0,0.0,0.0,0.0
17,"2021","Andhra Pradesh","28","Visakhapatanam","520","Visakhapatnam",20.0,29.0,21.0,70.0,384.0,17.0,44.0,94.0,155.0,636.0,0.0,0.0,0.0,0.0,0.0
